Conference,Team,Week 0 (August 23),Week 1 (Aug 28-Sept 1),Week 2 (Sept 5-6),Week 3 (Sept 11-13),Week 4 (Sept 18-20),Week 5 (Sept 25-27),Week 6 (Oct 2-4),Week 7 (Oct 8-11),Week 8 (Oct 14-18),Week 9 (Oct 21-25),Week 10 (Oct 28-Nov 1),Week 11 (Nov 4-8),Week 12 (Nov 11-15),Week 13 (Nov 18-22),Week 14 (Nov 25-29),Week 15 (Dec 5-6),Week 16 (Dec 13),Playoffs,
ACC,Boston College,BYE,Fordham,@ Michigan State,@ Stanford,BYE,Cal,@ Pitt,Clemson,UConn,@ Louisville,Notre Dame,SMU,Georgia Tech,BYE,@ Syracuse,"ACC Championship Game        8pm ET ABC               Charlotte, NC",,First Round,Dec 19-20
ACC,Cal,BYE,@ Oregon State,Texas Southern,Minnesota,@ San Diego State,@ Boston College,Duke,BYE,North Carolina,@ Virginia Tech,Virginia,@ Louisville,BYE,@ Stanford,SMU,,,Quarterfinals,Dec 31-Jan 1
ACC,Clemson,BYE,LSU,Troy,@ Georgia Tech,Syracuse,BYE,@ North Carolina,@ Boston College,SMU,BYE,Duke,Florida State,@ Louisville,Furman,@ South Carolina,,,Semifinals,Jan 8-9
ACC,Duke,BYE,Elon,Illinois,@ Tulane,NC State,@ Syracuse,@ Cal,BYE,Georgia Tech,BYE,@ Clemson,@ UConn,Virginia,@ North Carolina,Wake Forest,,,Championship,19-Jan
ACC,Florida State,BYE,Alabama,East Texas A&M,BYE,Kent State,@ Virginia,Miami (FL),Pitt,@ Stanford,BYE,Wake Forest,@ Clemson,Virginia Tech, @ NC State,@ Florida,,,,
ACC,Georgia Tech,BYE,@ Colorado,Gardner-Webb,Clemson,Temple,@ Wake Forest,BYE,Virginia Tech,@ Duke,Syracuse,@ NC State,BYE,@ Boston College,Pitt,Georgia,,,,
ACC,Louisville,BYE,Eastern Kentucky,James Madison,BYE,Bowling Green,@ Pitt,Virginia,BYE,@ Miami (FL),Boston College,@ Virginia Tech,Cal,Clemson,@ SMU,Kentucky,,,,
ACC,Miami (FL),BYE,Notre Dame,Bethune-Cookman,USF,Florida,BYE,@ Florida State,BYE,Louisville,Stanford,@ SMU,Syracuse,NC State,@ Virginia Tech,@ Pitt,,,,
ACC,NC State,BYE,East Carolina,Virginia,@ Wake Forest,@ Duke,Virginia Tech,Campbell,@ Notre Dame,BYE,@ Pitt,Georgia Tech,BYE,@ Miami (FL),Florida State,North Carolina,,,,
ACC,North Carolina,BYE,TCU,@ Charlotte,Richmond,@ UCF,BYE,Clemson,BYE,@ Cal,Virginia,@ Syracuse,Stanford,@ Wake Forest,Duke,@ NC State,,,,
ACC,Pitt,BYE,Duquesne,Central Michigan,@ West Virginia,BYE,Louisville,Boston College,@ Florida State,@ Syracuse,NC State,@ Stanford,BYE,Notre Dame,@ Georgia Tech,Miami (FL),,,,
ACC,SMU,BYE,East Texas A&M,Baylor,@ Missouri State,@ TCU,BYE,Syracuse,Stanford,@ Clemson,@ Wake Forest,Miami (FL),@ Boston College,BYE,Louisville,@ Cal,,,,
ACC,Stanford,@ Hawaii,BYE,@ BYU,Boston College,@ Virginia,San Jose State,BYE,@ SMU,Florida State,@ Miami (FL),Pitt,@ North Carolina,BYE,Cal,Notre Dame,,,,
